model,provider,prompt_id,run_id,url,domain,source_type,claimed_purpose,validation_status,http_status
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,http://portal.core.edu.au/conf-ranks/,portal.core.edu.au,unknown,CORE Rankings,valid,200.0
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://csrankings.org/,csrankings.org,unknown,CSRankings,valid,200.0
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,Evaluating Large Language Models Trained on Code,valid,200.0
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://github.com/openai/human-eval,github.com,github_repository,HumanEval: Evaluating Large Language Models via Unit Testing,valid,200.0
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2310.15916,arxiv.org,arxiv,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,valid,200.0
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,Measuring Massive Code Generation: The MBPP Benchmark,valid,200.0
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://arxiv.org/abs/2310.15916,arxiv.org,arxiv,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,valid,200.0
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://cognition.ai/blog/introducing-devin,cognition.ai,unknown,Introducing Devin,valid,200.0
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://arxiv.org/abs/2308.12950,arxiv.org,arxiv,Code Llama: Open Foundation Models for Code,valid,200.0
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://huggingface.co/blog/starcoder2,huggingface.co,unknown,StarCoder2,valid,200.0
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,HumanEval: Evaluating Large Language Models Trained on Code,valid,200.0
