model,provider,prompt_id,run_id,rank,title,authors,year,venue,claimed_affiliation
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,1,A Methodology for Software Engineering,"[""J. Smith"", ""A. Brown""]",1980,IEEE Transactions on Software Engineering,"Computer Science Department, University of Illinois"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,2,Object Oriented Technology: Principles and Patterns for a Successful Software Development Practice,"[""G. Green"", ""D. Black""]",1985,Science & Engineering Best Practices Journal,"Department of Computer Science, State University of New York at Buffalo"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,3,Object-Oriented Systems Engineering: Theory and Application,"[""C. White"", ""R. Adams""]",1990,Journal of Object-Oriented Programming,"Software Engineering Department, Massachusetts Institute of Technology"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,4,The Art of Computer Programming: Seminumerical Algorithms,"[""T. Williams"", ""C. Jones""]",1975,"Art and Science of Computing, Volume IV","Department of Mathematics, Stanford University"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,5,Experience with an Object-Oriented Tool in a Large Project: A Case Study,"[""B. Brown"", ""L. Green""]",1988,Proceedings of the ACM Symposium on Applied Computing,"Department of Computer Science, Carnegie Mellon University"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,6,Concepts and Applications of Software Metrics,"[""S. Lee"", ""L. Brown""]",1982,Journal of Software Engineering and Management Systems,"Software Engineering Laboratory, University of California at Berkeley"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,7,Software Requirements Specification: Model-Based Methodology in Object-Oriented Development,"[""J. White"", ""K. Black""]",1986,Journal of Programming Languages and Software Engineering Methods,"Software Engineering Department, University of Texas"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,8,The Management of Requirements: A View from Systems Engineering - Part I,"[""J. White"", ""M. Brown""]",1990,Communications of the ACM,"Department of Computer and Information Science, University of Michigan"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,9,Software Engineering for Complex Embedded Systems: Challenges and Solutions,"[""N. Green "", ""R. Smith""]",1984,International Journal of Information Engineering Technology Innovation,"Department of Electrical Engineering, University College London"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,10,Software Metrics: A Comprehensive Look at the Metrics in Software Process Improvement and Capability Maturity Model,"[""S. Red"", ""J. Green""]",2003,Journal of Management and Information Technology (MIT),"Department of Systems Engineering, University of Cambridge"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,11,Software Reliability Modeling - Theory to Practice,"[""K. Green"", ""I. Smith""]",1985,International Journal on Software Assurance and Security,"""Laboratory for Intelligent Systems"", California Institute of Technology"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s1,12,Software Engineering Economics: Tools to Design Cost Effective Solutions,"[""T. Green"", ""I. Smith""]",1983,Journal of Software Cost Estimating and Management,
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,1,A Catalogue of Software Engineering Tools,"[""P. Brissos"", ""J.A.L. van der Meer""]",2015,Software Process Improvement and Measurement: SPIM'15 7th IFIP WG 6.13 International Conference on Software Process Improvement,"Institute of Informatics and Systems - University of Coimbra, Portugal"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,2,A Practical Approach to Estimation in Software Engineering: Tools for Modeling Stakeholder Interactions,"[""J.A.L. van der Meer"", ""C. Nissen"", ""E.K. Andersen""]",1989,Proceedings of the European Conference on Computer-Algorithms (EURO-PAR'89),"Dip. Informatica, Universita di Padova, Italy"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,3,An Experimental Comparison of Some Techniques for Testing and Repairing Abstract Interpretations,"[""M. Fiedler"", ""C.A. Kooper""]",1979,IFIP TC6/WG2.5 International Conference on Software Engineering (ICSE),"IBM San Jose Research Center, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,4,The Design of a Symbolic Debugging System,"[""G.E. Piatkowska"", ""R.L.D. Maill""]",2016,International Symposium on Software Testing and Analysis,"IBM Austin Research Laboratory, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,5,Modeling Software Engineering Processes: Theory and Practice,"[""L. Chen"", ""J.K. Cuiu""]",2017,Empirical Methods in the Software Engineering Journal (EMSE),"Rice University, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,6,Software Toolkits as Programming Environments,"[""V. Suman"", ""I.H. Widders""]",2018,Software Engineering (ASE),"University of Southern California, USA"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,7,The Architecture-Driven Model Checking Approach for Concurrency and Security Analysis,"[""F. Ferrante"", ""L.P. Ferreira""]",2019,IEEE/ACM Transactions on Computational Systems (TOCS),"INESC-ID, Portugal"
qwen2.5:3b,ollama,SE_PAPERS,imp01-s2,8,Model-Driven Development: Principles and Tools,"[""N. Ben Ammar-Ferchakh"", ""A. Kermar]ard""]",2020,The Software Era (TSE),"CNRS - LIAMA, Grenoble Alpes University, France"
