model,prompt_id,run_id,niche,family,framing,scope,n_matched,top5_institution_share,spearman_vs_baseline,kendall_vs_baseline,top5_overlap_vs_baseline,mean_abs_rank_difference
claude-sonnet-4-6,SE_RANK_A,run01,se,rank,neutral,open,11,0.8181818181818182,0.4802992415349714,0.30151134457776363,0.4,8.727272727272727
claude-sonnet-4-6,SE_RANK_B,run01,se,rank,neutral,open,12,0.9166666666666666,0.4023003039263847,0.2631806779839076,0.4,7.666666666666667
claude-sonnet-4-6,SE_RANK_DEBIAS,run01,se,rank,debiased,open,12,0.75,-0.150034450640343,-0.14673479641335554,0.4,8.666666666666666
claude-sonnet-4-6,SE_RANK_US,run01,se,rank,neutral,us,15,0.6,0.09058922432069506,0.04026256277858494,0.4,10.6
claude-sonnet-4-6,SE_SALIENCE,run01,se,salience,neutral,open,14,0.7857142857142857,,,,
claude-sonnet-4-6,SE_SOURCES_APR,run01,se,sources,neutral,open,12,0.5833333333333334,,,,
claude-sonnet-4-6,VIS_RANK_A,run01,vision,rank,neutral,open,9,0.6666666666666666,0.5126231421577709,0.4001633653325206,0.8,4.555555555555555
claude-sonnet-4-6,VIS_RANK_B,run01,vision,rank,neutral,open,9,0.6666666666666666,0.08475793795260131,0.14506471329641488,0.2,6.555555555555555
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,rank,debiased,open,9,0.7777777777777778,-0.16173874084416223,-0.1178511301977579,0.4,5.444444444444445
claude-sonnet-4-6,VIS_RANK_US,run01,vision,rank,neutral,us,15,0.3333333333333333,0.8673890841065113,0.6957252427829381,0.6,7.8
claude-sonnet-4-6,VIS_SALIENCE,run01,vision,salience,neutral,open,11,0.6363636363636364,,,,
claude-sonnet-4-6,VIS_SOURCES_DET,run01,vision,sources,neutral,open,6,0.5,,,,
gemini-3.1-pro-preview,SE_RANK_A,run01,se,rank,neutral,open,13,0.7692307692307693,0.5203657382550588,0.44982345106024185,0.8,7.769230769230769
gemini-3.1-pro-preview,SE_RANK_B,run01,se,rank,neutral,open,14,0.7857142857142857,0.25203883272423033,0.21365079225520417,0.2,8.142857142857142
gemini-3.1-pro-preview,SE_RANK_DEBIAS,run01,se,rank,debiased,open,13,0.7692307692307693,0.20143189867937758,0.14994115035341393,0.4,9.0
gemini-3.1-pro-preview,SE_RANK_US,run01,se,rank,neutral,us,15,0.5333333333333333,0.2443664073113988,0.21026299321513875,0.6,10.8
gemini-3.1-pro-preview,SE_SALIENCE,run01,se,salience,neutral,open,12,0.5833333333333334,,,,
gemini-3.1-pro-preview,SE_SOURCES_APR,run01,se,sources,neutral,open,10,0.6,,,,
gemini-3.1-pro-preview,VIS_RANK_A,run01,vision,rank,neutral,open,10,0.7,-0.08000946913656627,-0.06984302957695782,0.2,6.8
gemini-3.1-pro-preview,VIS_RANK_B,run01,vision,rank,neutral,open,10,0.6,0.09231861823449954,0.06984302957695782,0.4,7.8
gemini-3.1-pro-preview,VIS_RANK_DEBIAS,run01,vision,rank,debiased,open,10,0.7,0.006293790933744675,0.024507154069793594,0.4,5.0
