model,provider,prompt_id,run_id,url,domain,source_type,claimed_purpose,validation_status
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,http://portal.core.edu.au/conf-ranks/,portal.core.edu.au,unknown,CORE Rankings,unvalidated
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://csrankings.org/,csrankings.org,unknown,CSRankings,unvalidated
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,Evaluating Large Language Models Trained on Code,unvalidated
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://github.com/openai/human-eval,github.com,github_repository,HumanEval: Evaluating Large Language Models via Unit Testing,unvalidated
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2310.15916,arxiv.org,arxiv,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,unvalidated
google/gemma-4-31b-it:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,Measuring Massive Code Generation: The MBPP Benchmark,unvalidated
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://arxiv.org/abs/2310.15916,arxiv.org,arxiv,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,unvalidated
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://cognition.ai/blog/introducing-devin,cognition.ai,unknown,Introducing Devin,unvalidated
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://arxiv.org/abs/2308.12950,arxiv.org,arxiv,Code Llama: Open Foundation Models for Code,unvalidated
google/gemma-4-31b-it:free,openrouter,P05_RECENT_WORK,final01,https://huggingface.co/blog/starcoder2,huggingface.co,unknown,StarCoder2,unvalidated
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,HumanEval: Evaluating Large Language Models Trained on Code,unvalidated
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://owasp.org/www-project-top-10-for-large-language-model-applications/,owasp.org,unknown,OWASP Top 10 for Large Language Model Applications,unvalidated
google/gemma-4-31b-it:free,openrouter,P07_PRACTITIONER_GUIDANCE,final01,https://github.com/features/copilot/trust,github.com,github_repository,GitHub Copilot Trust Center,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://www.core.edu.au/conference-portal,core.edu.au,unknown,CORE Conference Portal (2023/2024 rankings),unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://csrankings.org/,csrankings.org,unknown,"CSRankings: Computer Science Rankings (Software Engineering, AI, ML, PL areas)",unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://conf.researchr.org/track/icse-2024/icse-2024-ai-for-software-engineering,conf.researchr.org,conference_page,ICSE 2024 Call for Papers — AI for Software Engineering Track,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://ase2024.org/call-for-papers/,ase2024.org,unknown,ASE 2024 Call for Papers,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,https://2024.msrconf.org/track/msr-2024-papers,2024.msrconf.org,conference_page,MSR 2024 Call for Papers,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2203.13474,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2305.06161,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://github.com/openai/human-eval,github.com,github_repository,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2108.07732,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2102.04664,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2105.09938,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2303.17012,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://github.com/features/copilot,github.com,github_repository,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://aws.amazon.com/codewhisperer/,aws.amazon.com,unknown,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://conf.researchr.org/track/icse-2024/icse-2024-technical-papers?,conf.researchr.org,conference_page,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2002.06853,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2009.08366,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2104.02823,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2109.00859,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2310.06770,arxiv.org,arxiv,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://doi.org/10.48550/arXiv.XXXX.XXXXX,doi.org,academic_paper,,unvalidated
nvidia/nemotron-3-ultra-550b-a55b:free,openrouter,P04_EXACT_SOURCES,final01,https://arxiv.org/abs/2107.03374,arxiv.org,arxiv,arXiv,unvalidated
