model,prompt_id,run_id,title,claimed_affiliation,resolved_status
claude-sonnet-4-6,SE_PAPERS,imp01-s1,A Unified Framework for Version Modeling Using an Algebra of Elementary Objects,"University of California, Berkeley",low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s1,Mining Software Repositories to Study Software Evolution,"Queen's University, Canada",low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s1,A Survey of Software Testing,"University of California, San Diego",low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s2,A Model and Framework for Reliability Growth during System Test,Bell Telephone Laboratories,low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s2,A Unified Model of Software Evolution,Imperial College London,low_confidence
gpt-5.4,SE_PAPERS,imp01-s1,The CHAOS Report,The Standish Group,low_confidence
gpt-5.4,SE_PAPERS,imp01-s1,A Case for Redundancy in Data Centers,Google,low_confidence
gpt-5.4,SE_PAPERS,imp01-s3,The Economics of Reusable Software Components,Hewlett-Packard Laboratories,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,A Methodology for Software Engineering,"Computer Science Department, University of Illinois",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Object Oriented Technology: Principles and Patterns for a Successful Software Development Practice,"Department of Computer Science, State University of New York at Buffalo",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Experience with an Object-Oriented Tool in a Large Project: A Case Study,"Department of Computer Science, Carnegie Mellon University",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Concepts and Applications of Software Metrics,"Software Engineering Laboratory, University of California at Berkeley",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Software Requirements Specification: Model-Based Methodology in Object-Oriented Development,"Software Engineering Department, University of Texas",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,The Management of Requirements: A View from Systems Engineering - Part I,"Department of Computer and Information Science, University of Michigan",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Software Engineering for Complex Embedded Systems: Challenges and Solutions,"Department of Electrical Engineering, University College London",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Software Metrics: A Comprehensive Look at the Metrics in Software Process Improvement and Capability Maturity Model,"Department of Systems Engineering, University of Cambridge",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Software Reliability Modeling - Theory to Practice,"""Laboratory for Intelligent Systems"", California Institute of Technology",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Software Engineering Economics: Tools to Design Cost Effective Solutions,,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,A Practical Approach to Estimation in Software Engineering: Tools for Modeling Stakeholder Interactions,"Dip. Informatica, Universita di Padova, Italy",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,An Experimental Comparison of Some Techniques for Testing and Repairing Abstract Interpretations,"IBM San Jose Research Center, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,The Design of a Symbolic Debugging System,"IBM Austin Research Laboratory, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Modeling Software Engineering Processes: Theory and Practice,"Rice University, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Software Toolkits as Programming Environments,"University of Southern California, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,The Architecture-Driven Model Checking Approach for Concurrency and Security Analysis,"INESC-ID, Portugal",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Model-Driven Development: Principles and Tools,"CNRS - LIAMA, Grenoble Alpes University, France",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Software Product Lines: A Comprehensive Taxonomy,"INSTITUTO POLITECNICO DO MINHO, Portugal",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Formal Verification and Model Checking in Systems: A Step Forward for Verification Challenges,"CNRS - LIP, Nancy, France",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Software Engineering for Cloud-Aware Systems: The Cloud-Native Architecture,"Department of Computer Science and Engineering, City University of Hong Kong",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Context-Adaptive Middleware for Dynamic Software Systems,"Department of Computer Science and Information Engineering, National Taiwan University",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Principles of Middleware for Distributed Applications,"IBM Almaden Research Center, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Quality-Oriented Metrics and Measurement Techniques in Software Process Improvement,"Dip. Informativa, University of Padova, Italy",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Software Product Lines in Practice: Case Studies from Leading Enterprises,"Universidade Aberta, Portugal",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,Conceptual Data Models and Implementation Strategies,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,Anatomy of an Operating System: The Unix Time-Sharing System,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,"Databases and Data Bases: Concepts, Structure, Implementation",Massachusetts Institute of Technology,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,Managing Computer Resources: A Survey of Time- Sharing Systems,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,An Analysis of Software Engineering Literature: A Tool for Research and Practice,"New York University, Courant Institute",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,The Design of Compiler Generators: The ALGOL W Editor and Debugger System,Unspecified,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,"On the Relationship Between the User-Interface, Abstractions, and Tools",Tel Aviv University,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,Software Engineering Practices and the Software Crisis: A Cross-Section of Practitioners,Indiana University,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,An Investigation into the Complexity of Managing Database Systems,Unspecified,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,An Investigation into the Complexity of Managing Database Systems,Unspecified,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,An Investigation into the Complexity of Managing Database Systems - A Historical Perspective,Unspecified,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,A Survey of Recent Books on Software Engineering: From Text to Applications,Unspecified,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A Case for Architectural Styles,"Austin, TX, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Communicating with Software Tools,"Boston, MA, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Improving the Efficiency of Algorithm Implementations,"Cambridge, MA, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,How To Build A Spreadsheet - a Historical Study,"Herent, Belgium",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,From Software Engineering to Ubiquitous Computing,"Umeå, Sweden",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,"Refactoring Software, Architectures, Platforms and Cultures","Cambridge, United Kingdom",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Conceptual Foundations of Object-Oriented Analysis and Design: A Methodology of the Mind,"Durham, NC, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A New View of Software Engineering: The Role of Patterns,"Umeå, Sweden",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A Pattern Language Revisited: From Design Patterns to Object-Oriented Software Systems,"Vienna, Austria",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,An Object-oriented Programming Language: Design and Compiler,"Boston, MA, USA",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A Review of Software Engineering Journal - Reflections on the Past and Vision for the Future,"Edinburgh, United Kingdom",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Software Engineering in Japan: Recent Developments and Challenges,"Tokyo, Japan",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Extending the Limits of Relational Databases: A Case for Embedded SQL,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,"The Role of a Language in Programming, Revisited: How Should We Do It?",Georgia Institute of Technology,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Practical Experience with a Program Maintenance Repository: The NPL '79 Experiment and Its Impact on the ORACLE System Development Process,National Physical Laboratory,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,A Case for Const in C++,Sun Microsystems,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,An Object-Focused Language for Database Applications: The AMPL Specifier of the Coda Library System,"University of California, Berkeley",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,The Structure and Status of Computer Science: An Investigation by the National Research Council Committee on Computing Sciences,University of Illinois at Chicago Circle,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,'Let's Build Some More Libraries': The Role and Impact of Program Libraries in Practice,University of Illinois at Chicago Circle,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,"A Unified Theory for the Design, Implementation and Use of Operating System Services","University of California, Berkeley",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Developing Software: A Metrics Approach,Sandia National Laboratories,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Object-Oriented Database Modeling in Information Systems Development: An Empirical Investigation.,University of Texas at Arlington,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,The State of the Art in Software Engineering: A Survey and Classification of 567 Relevant Papers,"Bell Telephone Laboratories, Inc.",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Software Engineering Concepts and Practices: Their Evaluation and Classification as a Survey of Research in Software Engineering from 1963-1978,National Physical Laboratory,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s5,Program Specification by Structure: An Introduction and an Illustration of Dataflow Programming Languages,SRI International,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,Object Recognition Using a Learning Algorithm for Neural Networks,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,On Extracting the Main Axes of a Man from His Photograph,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,Learning to Rank in Object Recognition: the Caffeine Algorithm,AFL University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,An Intuitive and Effective Algorithm for Building a Recognition Model,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,A Probabilistic Algorithm for Recognizing Composite Bodies Using Multiresolution Discrete Fourier Transforms,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,An Algorithm for Recognizing Three-Dimensional Objects,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,The Representation and Use of Visual Context for Machine Vision,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,On a Problem in Machine Recognition: The Extraction of the Shape Descriptors,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,A Probabilistic Algorithm for Extracting Human Figure Scales,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,An Analysis of the Combinatorial Problems in Designing a Visual System,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,An Incremental Algorithm for Visual Feature Extraction,AFL University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,Object Recognition in Images,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,A Neural Network Approach to Visual Object Recognition,Google,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s1,An Analysis of the Combinatorial Problems in Designing a Visual System,Brown University,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Retinex Theory,"Bell Laboratories, Murray Hill",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,The Two-Stage Cascade Algorithm for Multiband Image Restoration,École Polytechnique Fédérale de Lausanne,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,The CENS Multiresolution Image Representation,National Bureau of Standards,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Analysis of the Performance of an Image Model on a Computer,Massachusetts Institute of Technology,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,The Fourier Snapshot System - Image Representation by Wavelet Transform,"National Supercomputer Center, Scientific Computing Department",low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Understanding Images through Algorithms,Massachusetts Institute of Technology,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Computer Sketch-Based Image Retrieval,Microsoft Research,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,The Random Sample Consistency of the PCA-Based Face Representation,California Institute of Technology,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,A Learning Strategy for Recognition of Handwritten Numerals,University of Southern California,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,Learning to Rank: The Web Example,Hong Kong University of Science & Technology,low_confidence
qwen2.5:3b,VIS_PAPERS,imp01-s2,"Hierarchical Image Representations: An Overview - Part I, Computational Aspects and Hierarchically Referred Segmentation (HRS)",Academia Sinica,low_confidence
