model,prompt_id,run_id,niche,institution_raw,best_match_candidate,match_score
claude-sonnet-4-6,SE_RANK_A,run01,se,Microsoft Research,Rochester Inst. of Technology,47.5
claude-sonnet-4-6,SE_RANK_A,run01,se,Google,George Mason University,60.00000000000001
claude-sonnet-4-6,SE_RANK_A,run01,se,ETH Zurich,University of Michigan,37.89473684210526
claude-sonnet-4-6,SE_RANK_A,run01,se,IBM Research,Massachusetts Inst. of Technology,47.36842105263159
claude-sonnet-4-6,SE_RANK_B,run01,se,Microsoft Research,Rochester Inst. of Technology,47.5
claude-sonnet-4-6,SE_RANK_B,run01,se,ETH Zurich,University of Michigan,37.89473684210526
claude-sonnet-4-6,SE_RANK_B,run01,se,Google Research / Google DeepMind,George Mason University,35.71428571428571
claude-sonnet-4-6,SE_RANK_DEBIAS,run01,se,Microsoft Research,Rochester Inst. of Technology,47.5
claude-sonnet-4-6,SE_RANK_DEBIAS,run01,se,Google,George Mason University,60.00000000000001
claude-sonnet-4-6,SE_RANK_DEBIAS,run01,se,ETH Zurich,University of Michigan,37.89473684210526
claude-sonnet-4-6,SE_SALIENCE,run01,se,Microsoft Research,Rochester Inst. of Technology,47.5
claude-sonnet-4-6,SE_SALIENCE,run01,se,Google,George Mason University,60.00000000000001
claude-sonnet-4-6,SE_SALIENCE,run01,se,ETH Zurich,University of Michigan,37.89473684210526
claude-sonnet-4-6,SE_SALIENCE,run01,se,Simula Research Laboratory,Virginia Tech,41.04
claude-sonnet-4-6,VIS_RANK_A,run01,vision,Google / Google DeepMind,Georgia Institute of Technology,32.72727272727273
claude-sonnet-4-6,VIS_RANK_A,run01,vision,Meta AI (FAIR),Texas A&amp;M University,34.285714285714285
claude-sonnet-4-6,VIS_RANK_A,run01,vision,Microsoft Research,University of Rochester,53.65853658536586
claude-sonnet-4-6,VIS_RANK_A,run01,vision,NVIDIA Research,University of Rochester,43.2
claude-sonnet-4-6,VIS_RANK_A,run01,vision,ETH Zurich,Michigan State University,38.57142857142858
claude-sonnet-4-6,VIS_RANK_A,run01,vision,Apple,Univ. of California - Berkeley,45.0
claude-sonnet-4-6,VIS_RANK_B,run01,vision,Google DeepMind / Google Research,Univ. of Maryland - College Park,40.0
claude-sonnet-4-6,VIS_RANK_B,run01,vision,Meta AI (FAIR),Texas A&amp;M University,34.285714285714285
claude-sonnet-4-6,VIS_RANK_B,run01,vision,Microsoft Research,University of Rochester,53.65853658536586
claude-sonnet-4-6,VIS_RANK_B,run01,vision,OpenAI,Oregon State University,45.0
claude-sonnet-4-6,VIS_RANK_B,run01,vision,ETH Zürich,Michigan State University,38.57142857142858
claude-sonnet-4-6,VIS_RANK_B,run01,vision,NVIDIA Research,University of Rochester,43.2
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,Google / Google Brain / Google DeepMind,Univ. of California - Merced,37.254901960784316
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,Meta AI (FAIR),Texas A&amp;M University,34.285714285714285
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,Microsoft Research,University of Rochester,53.65853658536586
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,NVIDIA Research,University of Rochester,43.2
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,ETH Zurich,Michigan State University,38.57142857142858
claude-sonnet-4-6,VIS_RANK_DEBIAS,run01,vision,Adobe Research,University of Rochester,48.46153846153846
claude-sonnet-4-6,VIS_SALIENCE,run01,vision,Google DeepMind,University of North Carolina,36.0
