model,provider,prompt_id,run_id,url,domain,source_type,claimed_purpose,validation_status
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1109/TSE.2011.104,doi.org,academic_paper,GenProg: A Generic Method for Automatic Software Repair,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1145/2771783.2771791,doi.org,academic_paper,An Analysis of Patch Plausibility and Correctness for Generate-and-Validate Patch Generation Systems,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1145/2837614.2837617,doi.org,academic_paper,Prophet: Generating Patches That Don't Break Things,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1109/ICSE.2013.6606626,doi.org,academic_paper,"Automated Patch Generation Learned from Human-Written Patches: Analysis, Challenges, and Prospects",unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1145/2610384.2628055,doi.org,academic_paper,Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://github.com/rjust/defects4j,github.com,github_repository,Defects4J Benchmark Repository,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1109/TSE.2019.2940179,doi.org,academic_paper,SequenceR: Sequence-to-Sequence Learning for End-to-End Program Repair,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://doi.org/10.1109/ICSE48619.2023.00129,doi.org,academic_paper,Automated Program Repair in the Era of Large Pre-trained Language Models,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://arxiv.org/abs/2310.06770,arxiv.org,arxiv,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,unvalidated
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,https://www.swebench.com,swebench.com,unknown,SWE-bench Benchmark Website and Leaderboard,unvalidated
