model,provider,prompt_id,run_id,niche,source,rank,institution_raw,justification,family,framing,scope,institution_normalized,match_score,baseline_rank,rank_difference_vs_baseline
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,1,Carnegie Mellon University,"CMU is widely regarded as the top institution for software engineering research globally. The SEI, a federally funded R&D center, produced foundational work including the Capability Maturity Model (CMM/CMMI). CMU faculty have led seminal research in formal methods, software architecture, program analysis, testing, and AI for code. Researchers such as David Garlan, William Scherlis, and Jonathan Aldrich have shaped the field for decades.",rank,neutral,open,Carnegie Mellon University,100.0,1,0
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,2,Massachusetts Institute of Technology (MIT),"MIT CSAIL has produced landmark contributions in program synthesis, formal verification, software testing, and programming languages. Work on model checking (with connections to Alloy by Daniel Jackson), program analysis, and more recently AI-assisted programming (e.g., connections to GitHub Copilot research) places MIT among the most influential SE research institutions.",rank,neutral,open,Univ. of California - Irvine,85.5,2,0
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,4,"University of California, Berkeley","UC Berkeley has contributed foundational work in programming languages, distributed systems software engineering, automated program repair, and software security. Faculty such as Koushik Sen (KLEE-related fuzzing, concolic testing) and Armando Solar-Lezama (program synthesis) have had major impact. Berkeley also produced influential open-source software infrastructure.",rank,neutral,open,Purdue University,85.5,4,0
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,6,Delft University of Technology (TU Delft),"TU Delft's SERG is one of Europe's most productive SE research groups, with strong output in empirical software engineering, software testing, technical debt, continuous integration, and mining software repositories. Researchers such as Arie van Deursen and Andy Zaidman have high citation impact, and the group consistently publishes at top venues (ICSE, FSE, ASE).",rank,neutral,open,Carnegie Mellon University,85.5,1,5
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,7,University of Illinois Urbana-Champaign (UIUC),"UIUC has a long tradition of influential SE and PL research, including work on program analysis, model checking (SPIN-related), software testing, and automated debugging. Faculty such as Darko Marinov (regression testing) and Tao Xie (software testing, AI for SE) have had sustained high impact.",rank,neutral,open,Carnegie Mellon University,85.5,1,6
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,8,University of Texas at Austin,"UT Austin has produced influential research in program synthesis, formal verification, software security, and automated program repair. Isil Dillig's work on program analysis and synthesis, and Miryung Kim's empirical SE work (before her move to UCLA) represent the breadth of impact. The institution consistently places at top SE venues.",rank,neutral,open,University of Texas at Austin,100.0,32,-24
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,10,University of Washington,"UW has strong contributions in programming languages and software engineering, including work on program synthesis, software verification, and human aspects of SE. Researchers such as Michael Ernst (Daikon invariant detector, type inference) and the broader PLSE group have had lasting influence.",rank,neutral,open,University of Washington,100.0,32,-22
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,12,University of British Columbia (UBC),"UBC has produced influential empirical SE research, particularly in software evolution, code smells, developer productivity, and mining software repositories. Researchers such as Gail Murphy and Reid Holmes have had significant impact on understanding software development practices.",rank,neutral,open,Purdue University,85.5,4,8
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,13,National University of Singapore (NUS),"NUS has emerged as a leading SE research institution in Asia, with strong output in automated program repair, software testing, and AI for SE. Abhik Roychoudhury's group on automated debugging and repair, and David Lo's work on mining software repositories, have achieved high international visibility.",rank,neutral,open,Purdue University,85.5,4,9
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,14,University of Melbourne,"The University of Melbourne has a strong SE research presence, particularly in search-based software engineering, software testing, and empirical SE. Researchers such as Tim Menzies (before his move) and ongoing work in automated testing and AI for SE have given the institution consistent presence at top venues.",rank,neutral,open,Univ. of Illinois at Urbana-Champaign,85.5,3,11
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,se,mention,15,Purdue University,"Purdue has contributed influential work in software security, program analysis, and software testing. Research on vulnerability detection, binary analysis, and software supply chain security has gained increasing relevance. The institution has a steady publication record at ICSE, FSE, and security venues with SE relevance.",rank,neutral,open,Purdue University,100.0,4,11
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,1,Massachusetts Institute of Technology (MIT),"Consistently top-ranked in SE research with strong output in program analysis, formal verification, software synthesis, and AI-assisted coding. Faculty such as Armando Solar-Lezama (program synthesis) and Martin Rinard have produced highly cited work. Strong industry connections and funding.",rank,neutral,open,Univ. of California - Irvine,85.5,2,-1
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,2,Carnegie Mellon University (CMU),"Home to legendary SE researchers including David Garlan (software architecture), Claire Le Goues (automated program repair), and Brad Myers (HCI/SE). ISR has been a cornerstone of SE research for decades. Strong publication record at ICSE, FSE, and ASE.",rank,neutral,open,Carnegie Mellon University,95.0,1,1
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,se,mention,3,"University of California, Berkeley","Strong in programming languages, distributed systems software, and AI for code. Faculty like Koushik Sen (fuzzing, concolic testing) and Dawn Song have produced foundational SE and security-related software research. High citation impact.",rank,neutral,open,Purdue University,85.5,4,-1
