model,provider,prompt_id,run_id,rank,institution_raw,justification
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,1,Carnegie Mellon University,"CMU is widely regarded as the top software engineering research institution in the world. It houses the Software Engineering Institute (SEI), the Institute for Software Research (ISR), and has produced foundational work in software architecture, formal methods, program analysis, testing, and human aspects of SE. Faculty such as Jonathan Aldrich, Claire Le Goues, Brad Myers, and others lead highly cited research programs."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,2,Massachusetts Institute of Technology,"MIT CSAIL hosts influential research in program synthesis, formal verification, software security, and programming languages. Work from groups led by faculty like Armando Solar-Lezama (program synthesis), Martin Rinard, and Michael Ernst has had major impact on SE research and practice."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,3,"University of California, Berkeley","Berkeley has strong SE research in program analysis, software security, programming languages, and distributed systems software. Faculty including Koushik Sen (fuzzing, testing), Dawn Song (security), and others contribute heavily to top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,4,University of Illinois Urbana-Champaign,"UIUC has a long tradition of excellence in programming languages, compilers, program analysis, and software testing. Faculty such as Darko Marinov (software testing), Tao Xie, and Vikram Adve have produced highly influential SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,5,University of Washington,"UW has strong research in programming languages, software engineering, HCI aspects of SE, and formal methods. Faculty including Michael Ernst (invariant detection, testing), Emina Torlak (program synthesis/verification), and René Just contribute significantly to SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,6,Georgia Institute of Technology,"Georgia Tech has a strong SE research community with work in software testing, program repair, software analytics, and AI for SE. Faculty such as Alessandro Orso, Baishakhi Ray (now at Columbia but trained here), and others have made major contributions to ICSE, FSE, and ASE."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,7,University of Texas at Austin,"UT Austin has notable strength in program synthesis, formal verification, programming languages, and software security. Faculty including Işıl Dillig, Swarat Chaudhuri, and Miryung Kim contribute to top SE and PL venues."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,8,Stanford University,"Stanford contributes to SE through work in program analysis, software security, formal verification, and AI-assisted software development. Faculty such as Alex Aiken (program analysis) and Dawson Engler have produced landmark SE research."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,9,Columbia University,"Columbia has growing strength in SE research, particularly in software testing, program analysis, AI for SE, and software security. Faculty including Baishakhi Ray (AI for SE, code generation) and Junfeng Yang (systems and testing) are highly active."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,10,"University of California, Los Angeles","UCLA's SEAL (Software Engineering and Analysis Lab) led by Miryung Kim (now at UCLA) and other faculty contributes to software evolution, program analysis, and empirical SE. The department has a solid presence at major SE conferences."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,11,Purdue University,"Purdue has active SE research in software testing, program analysis, software security, and empirical SE. Faculty contributions appear regularly at ICSE, FSE, and ASE, and the department has a strong graduate program in SE."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,12,University of Michigan,"Michigan has notable SE research in program analysis, software reliability, and human aspects of software engineering. Faculty such as Westley Weimer (program repair, genetic improvement) contribute prominently to the SE research community."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,13,"University of California, San Diego","UCSD contributes to SE through research in program synthesis, programming languages, software verification, and software security. Faculty including Ranjit Jhala and Nadia Polikarpova (program synthesis, type systems) are highly active in SE and PL venues."
claude-sonnet-4-6,anthropic,SE_RANK_US_B,run01,14,North Carolina State University,"NC State has a dedicated and productive SE research group with strengths in empirical SE, software analytics, mining software repositories, and AI for SE. Faculty such as Tim Menzies and Laurie Williams have high citation counts and strong presence at SE venues."
