model,prompt_id,run_id,niche,variant,n_listed,n_matched,match_rate,sum_abs_deviation,mean_abs_deviation,spearman_vs_baseline,kendall_vs_baseline,top5_overlap_vs_baseline
claude-sonnet-4-6,SE_RANK_US,run01,se,A,15,15,1.0,223.0,14.866666666666667,0.019838667536866063,0.01971615883835298,0.6
claude-sonnet-4-6,SE_RANK_US_B,run01,se,B,15,15,1.0,218.0,14.533333333333333,0.09558630722308194,0.07886463535341191,0.4
claude-sonnet-4-6,SE_RANK_US_C,run01,se,C,15,15,1.0,225.0,15.0,-0.025249213228738625,0.01971615883835298,0.4
claude-sonnet-4-6,VIS_RANK_US,run01,vision,A,15,15,1.0,138.0,9.2,0.35,0.2571428571428572,0.6
claude-sonnet-4-6,VIS_RANK_US_B,run01,vision,B,15,15,1.0,120.0,8.0,0.48571428571428565,0.37142857142857144,0.8
claude-sonnet-4-6,VIS_RANK_US_C,run01,vision,C,15,15,1.0,123.0,8.2,0.4107142857142856,0.2571428571428572,0.8
gemini-3.1-pro-preview,SE_RANK_US,run01,se,A,15,15,1.0,196.0,13.066666666666666,0.09335862522316048,0.11710800875382399,0.4
gemini-3.1-pro-preview,SE_RANK_US_B,run01,se,B,15,15,1.0,198.0,13.2,-0.036004781752546185,-0.07886463535341191,0.4
gemini-3.1-pro-preview,SE_RANK_US_C,run01,se,C,15,15,1.0,196.0,13.066666666666666,0.037702521724737884,0.058554004376911994,0.4
gemini-3.1-pro-preview,VIS_RANK_US,run01,vision,A,15,15,1.0,92.0,6.133333333333334,0.7107142857142856,0.48571428571428577,0.8
gemini-3.1-pro-preview,VIS_RANK_US_B,run01,vision,B,15,15,1.0,93.0,6.2,0.7749999999999999,0.561904761904762,0.8
gemini-3.1-pro-preview,VIS_RANK_US_C,run01,vision,C,15,15,1.0,98.0,6.533333333333333,0.5821428571428571,0.40952380952380957,0.8
gpt-5.4,SE_RANK_US,run01,se,A,15,15,1.0,215.0,14.333333333333334,0.11372508149297558,0.0891788756959721,0.4
gpt-5.4,SE_RANK_US_B,run01,se,B,15,15,1.0,230.0,15.333333333333334,-0.1859314824408966,-0.1288139315608486,0.4
gpt-5.4,SE_RANK_US_C,run01,se,C,15,15,1.0,219.0,14.6,-0.07394412445559169,-0.03943231767670596,0.4
gpt-5.4,VIS_RANK_US,run01,vision,A,15,15,1.0,123.0,8.2,0.2823951082948457,0.17225077552896437,0.6
gpt-5.4,VIS_RANK_US_B,run01,vision,B,15,15,1.0,109.0,7.266666666666667,0.5678571428571427,0.3904761904761905,0.8
gpt-5.4,VIS_RANK_US_C,run01,vision,C,15,15,1.0,119.0,7.933333333333334,0.32171594615868493,0.210528725646512,0.4
qwen2.5:3b,SE_RANK_US,run01,se,A,15,15,1.0,197.0,13.133333333333333,0.02190306226217134,0.020348923188911995,0.2
qwen2.5:3b,SE_RANK_US_B,run01,se,B,15,15,1.0,225.5,15.033333333333333,0.19094065395649334,0.11131573579846799,0.4
qwen2.5:3b,SE_RANK_US_C,run01,se,C,15,15,1.0,204.5,13.633333333333333,-0.26574460696390473,-0.20131281389292469,0.2
qwen2.5:3b,VIS_RANK_US,run01,vision,A,15,15,1.0,172.5,11.5,0.6881146626171873,0.4976133515281193,0.6
qwen2.5:3b,VIS_RANK_US_B,run01,vision,B,15,15,1.0,127.5,8.5,0.28980368375023696,0.16346909545460608,0.2
qwen2.5:3b,VIS_RANK_US_C,run01,vision,C,15,15,1.0,153.5,10.233333333333333,0.3533667816420813,0.24276421662810801,0.4
