model,prompt_id,run_id,title,claimed_affiliation,resolved_status
claude-sonnet-4-6,SE_PAPERS,imp01-s2,A Survey of Software Testing,New York University,low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s3,Specification and Verification of Concurrent Programs by Assertions,Stanford University,low_confidence
claude-sonnet-4-6,SE_PAPERS,imp01-s3,Mining Software Repositories to Study Software Evolution,University of Zurich,low_confidence
claude-sonnet-4-6,VIS_PAPERS,imp01-s2,Going Deeper with Convolutions (GoogLeNet / Inception),Google Inc.,low_confidence
gpt-5.4,SE_PAPERS,imp01-s1,An Experimental Evaluation of the Cost Benefits of Structured Flowcharts in Program Comprehension,University of Maryland,low_confidence
gpt-5.4,SE_PAPERS,imp01-s2,Belady's Anomaly,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,A Formal Basis for the Analysis of Algorithms,Eidgenössische Technische Hochschule Zürich [ETH],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,"Data Structures, Operating Systems, and the Development of Programs.",Ohio State University [OSU],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,The PERT Approach to Planning and Control of Projects,Stanford Research Institute [SRI],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,An Analysis of a Data Structure for External Storage Management,University of Vermont [UVM],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,Experience with Problems in the Design and Implementation of a System of Bibliographic Databases,University of Massachusetts [UMass],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,The System Programming Environment for the IBM 360: A Case Study in Organizing a Software Engineering Operation.,Bell Telephone Laboratories [BTL],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s1,An Investigation into the Relation Between Data Base Structures and the User's Perspective.,University of Washington [UW],low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,A Theory of Software Craftsmanship,Boeing,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,The Design Of UNIX,Bell Labs,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Empirical Validation of the Pressure Model for Software Project Failure,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,The Mythical Man-Month: The Fictions Behind Management Wisdom,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Critical Design Decisions for a High Assurance Middleware Infrastructure,Univ. of Alabama in Huntsville,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,A Theory for the Structure of Distributed Computer Programs,NASA,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,Software Engineering - The New Frontier,Burroughs,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,A New Kind of Testing,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s2,The Architecture of Open-Minded Systems,Xerox PARC,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,A Software Engineering Approach to Software Architecture Design,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,The Mythical Man-Month: Epics Grand Schemes and Micro-Power,IBM,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,Object-Oriented Programming: The Third Wave of Computing,MIT,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s3,The Design and Implementation of the Berkeley Software Distribution (BSD),University of California,low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A Case for Architectural Styles,"Austin, TX, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Communicating with Software Tools,"Boston, MA, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Improving the Efficiency of Algorithm Implementations,"Cambridge, MA, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,How To Build A Spreadsheet - a Historical Study,"Herent, Belgium",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,From Software Engineering to Ubiquitous Computing,"Umeå, Sweden",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,"Refactoring Software, Architectures, Platforms and Cultures","Cambridge, United Kingdom",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,Conceptual Foundations of Object-Oriented Analysis and Design: A Methodology of the Mind,"Durham, NC, United States",low_confidence
qwen2.5:3b,SE_PAPERS,imp01-s4,A New View of Software Engineering: The Role of Patterns,"Umeå, Sweden",low_confidence
