model,provider,prompt_id,run_id,rank,institution_raw,justification
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,1,Carnegie Mellon University,"CMU is widely regarded as the top institution for software engineering research globally. The SEI, a federally funded R&D center, produced foundational work including the Capability Maturity Model (CMM/CMMI). CMU faculty have led seminal research in formal methods, software architecture, program analysis, testing, and AI for code. Researchers such as David Garlan, William Scherlis, and Jonathan Aldrich have shaped the field for decades."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,2,Massachusetts Institute of Technology (MIT),"MIT CSAIL has produced landmark contributions in program synthesis, formal verification, software testing, and programming languages. Work on model checking (with connections to Alloy by Daniel Jackson), program analysis, and more recently AI-assisted programming (e.g., connections to GitHub Copilot research) places MIT among the most influential SE research institutions."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,3,Microsoft Research,"Microsoft Research's RiSE group has produced enormously influential work including the Pex/IntelliTest automated testing tool, the Dafny verification language, Z3 SMT solver, Boogie verifier, and extensive empirical software engineering studies. The combination of academic rigor and industrial scale gives MSR unique influence on both research and practice."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,4,"University of California, Berkeley","UC Berkeley has contributed foundational work in programming languages, distributed systems software engineering, automated program repair, and software security. Faculty such as Koushik Sen (KLEE-related fuzzing, concolic testing) and Armando Solar-Lezama (program synthesis) have had major impact. Berkeley also produced influential open-source software infrastructure."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,5,Google,"Google has driven enormous advances in software engineering at scale, including large-scale testing infrastructure, code review practices, fuzzing (OSS-Fuzz), static analysis (Error Prone, Tricorder), and AI for code (AlphaCode, Codey). Google's publications and open-source releases have reshaped industrial and academic SE research."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,6,Delft University of Technology (TU Delft),"TU Delft's SERG is one of Europe's most productive SE research groups, with strong output in empirical software engineering, software testing, technical debt, continuous integration, and mining software repositories. Researchers such as Arie van Deursen and Andy Zaidman have high citation impact, and the group consistently publishes at top venues (ICSE, FSE, ASE)."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,7,University of Illinois Urbana-Champaign (UIUC),"UIUC has a long tradition of influential SE and PL research, including work on program analysis, model checking (SPIN-related), software testing, and automated debugging. Faculty such as Darko Marinov (regression testing) and Tao Xie (software testing, AI for SE) have had sustained high impact."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,8,University of Texas at Austin,"UT Austin has produced influential research in program synthesis, formal verification, software security, and automated program repair. Isil Dillig's work on program analysis and synthesis, and Miryung Kim's empirical SE work (before her move to UCLA) represent the breadth of impact. The institution consistently places at top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,9,ETH Zurich,"ETH Zurich has produced highly cited work in program analysis, automated bug detection, AI for code, and software security. Martin Vechev's group (SRL) is particularly notable for work on neural program synthesis, static analysis, and machine learning for code, publishing extensively at top venues."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,10,University of Washington,"UW has strong contributions in programming languages and software engineering, including work on program synthesis, software verification, and human aspects of SE. Researchers such as Michael Ernst (Daikon invariant detector, type inference) and the broader PLSE group have had lasting influence."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,11,IBM Research,"IBM Research has historically been a major contributor to software engineering, including early work on formal methods, software testing, program analysis, and more recently AI for code (Project CodeNet, Watson-based tools). IBM's long publication record at ICSE and FSE and its influence on enterprise software practices justify its placement."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,12,University of British Columbia (UBC),"UBC has produced influential empirical SE research, particularly in software evolution, code smells, developer productivity, and mining software repositories. Researchers such as Gail Murphy and Reid Holmes have had significant impact on understanding software development practices."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,13,National University of Singapore (NUS),"NUS has emerged as a leading SE research institution in Asia, with strong output in automated program repair, software testing, and AI for SE. Abhik Roychoudhury's group on automated debugging and repair, and David Lo's work on mining software repositories, have achieved high international visibility."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,14,University of Melbourne,"The University of Melbourne has a strong SE research presence, particularly in search-based software engineering, software testing, and empirical SE. Researchers such as Tim Menzies (before his move) and ongoing work in automated testing and AI for SE have given the institution consistent presence at top venues."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,15,Purdue University,"Purdue has contributed influential work in software security, program analysis, and software testing. Research on vulnerability detection, binary analysis, and software supply chain security has gained increasing relevance. The institution has a steady publication record at ICSE, FSE, and security venues with SE relevance."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,1,Massachusetts Institute of Technology (MIT),"Consistently top-ranked in SE research with strong output in program analysis, formal verification, software synthesis, and AI-assisted coding. Faculty such as Armando Solar-Lezama (program synthesis) and Martin Rinard have produced highly cited work. Strong industry connections and funding."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,2,Carnegie Mellon University (CMU),"Home to legendary SE researchers including David Garlan (software architecture), Claire Le Goues (automated program repair), and Brad Myers (HCI/SE). ISR has been a cornerstone of SE research for decades. Strong publication record at ICSE, FSE, and ASE."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,3,"University of California, Berkeley","Strong in programming languages, distributed systems software, and AI for code. Faculty like Koushik Sen (fuzzing, concolic testing) and Dawn Song have produced foundational SE and security-related software research. High citation impact."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,4,Microsoft Research,"One of the most prolific industrial SE research groups globally. Produced foundational work in model checking (SLAM), static analysis (Infer precursor work), developer productivity, and AI-assisted development (GitHub Copilot research). Researchers like Thomas Ball and Sriram Rajamani are highly influential."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,5,ETH Zurich,"World-leading in program analysis, formal verification, and AI for software engineering. Martin Vechev's group has produced top-tier work on neural program analysis and code intelligence. Peter Müller leads work in formal verification. Consistently strong at top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,6,University of Illinois Urbana-Champaign (UIUC),"Strong tradition in programming languages and software testing. Darko Marinov's work on test flakiness and regression testing is widely cited. Tao Xie (now at Peking University) built much of his reputation here. Consistent presence at ICSE, FSE, ISSTA."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,7,Delft University of Technology (TU Delft),"Europe's most visible SE research group. Arie van Deursen, Maurício Aniche, and Andy Zaidman lead research in software testing, technical debt, and AI for SE. Strong empirical SE output and highly active at ICSE, MSR, and SANER."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,8,University of Texas at Austin,"Isil Dillig leads highly influential work in program analysis, program synthesis, and formal verification. Strong PL/SE intersection research with consistent top-venue publications. Growing reputation in AI-assisted programming."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,9,National University of Singapore (NUS),"Asia's leading SE research institution. Abhik Roychoudhury's work on automated debugging and program repair is globally recognized. Strong output at ICSE, FSE, and PLDI. Growing influence in AI for SE and software security."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,10,Google Research / Google DeepMind,"Massive investment in SE research including large language models for code (AlphaCode, Codey), fuzzing (OSS-Fuzz), and developer tooling. Publishes influential empirical studies on large-scale software engineering practices. Industry impact is unmatched."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,11,University of Melbourne,"Tim Menzies (formerly here, now NC State) and ongoing faculty produce strong empirical SE and AI for SE research. Australia's top SE institution with consistent ICSE and FSE publications and growing work in search-based SE."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,12,Peking University,China's leading SE research institution. Tao Xie leads highly productive research in software testing and AI for SE. Strong government funding and rapidly growing publication volume at top venues. Increasingly influential globally.
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,13,University of Waterloo,"Strong in empirical SE, mining software repositories, and API usability. Mei Nagappan and Shane McIntosh produce well-cited work. Canada's top SE research institution with consistent presence at MSR, ICSE, and EMSE."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,14,Zhejiang University,"One of China's fastest-rising SE institutions with strong output in software testing, program analysis, and AI for code. Increasingly visible at ICSE, FSE, and ASE. Benefits from substantial national research funding."
claude-sonnet-4-6,anthropic,SE_RANK_B,run01,15,University College London (UCL),"Mark Harman pioneered search-based software engineering (SBSE) here, a field now widely adopted. Strong in automated testing, program repair, and empirical SE. Consistent European presence at top SE venues, though some key figures have moved to industry."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,1,Carnegie Mellon University,"Home of the SEI, which produced foundational work including CMMI, the capability maturity model, and decades of influential SE research. Faculty such as David Garlan, William Scherlis, and Brad Myers have shaped software architecture, HCI-SE intersection, and program analysis. Consistently top-ranked in SE publication venues (ICSE, FSE, ASE, TOSEM)."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,2,MIT,"Strong contributions in program synthesis, formal verification, model checking (Alloy/Daniel Jackson), and software correctness. Armando Solar-Lezama's work on program synthesis has been highly cited. CSAIL produces consistent output at top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,3,"University of California, Berkeley","Influential in distributed systems software, testing, and program analysis. Dawn Song's work on security and software analysis, and contributions to automated bug finding and fuzzing. Strong publication record at ICSE, PLDI, and SOSP."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,4,Microsoft Research,"RiSE group has produced landmark work in model checking (SLAM, used in Windows driver verification), static analysis (Pex, IntelliTest), program verification (Dafny, Boogie), and developer productivity research. Thomas Ball, Sriram Rajamani, and Nikolaj Bjorner among key contributors."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,5,Delft University of Technology,"One of Europe's most productive SE research groups. Arie van Deursen, Maurício Aniche, and Andy Zaidman have contributed heavily to software testing, technical debt, and empirical SE. Consistently high output at ICSE, FSE, MSR, and ICSME."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,6,University of Illinois Urbana-Champaign,"Darko Marinov's work on test isolation and flaky tests is widely cited. Contributions to program analysis, concurrency testing, and mutation testing. Strong presence at ICSE, ISSTA, and PLDI."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,7,University of Texas at Austin,"Isil Dillig's work on program analysis and synthesis, and Miryung Kim's earlier work on software evolution and change impact analysis have been highly influential. Strong empirical and formal SE output."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,8,Google,"Substantial industrial SE research on large-scale testing (fuzzing with OSS-Fuzz), code review practices, developer productivity, and static analysis (Error Prone, Tricorder). Publishes extensively at ICSE, FSE, and ISSTA and has shaped industry SE practices globally."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,9,University of Waterloo,"Strong tradition in software architecture, API usability, and empirical SE. Reid Holmes, Werner Dietl, and Patrick Lam have contributed to program analysis and developer tools. Consistent presence at top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,10,University of British Columbia,"Gail Murphy's work on developer cognition, task context, and IDE tooling has been highly influential. Julia Rubin and Ivan Beschastnikh have contributed to mobile SE and distributed systems testing. Strong empirical SE output."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,11,Peking University,"One of China's leading SE research institutions with growing global impact. Contributions to program analysis, software testing, and automated debugging. Increasing presence at ICSE, FSE, and ASE over the past decade."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,12,University of Melbourne,"John Grundy, John Hosking, and colleagues have contributed to model-driven engineering, human aspects of SE, and software visualization. Australia's most productive SE research group with strong ICSE and JSS publication records."
claude-sonnet-4-6,anthropic,SE_RANK_DEBIAS,run01,13,Saarland University / CISPA Helmholtz Center,"Andreas Zeller's work on automated debugging, delta debugging, and fuzzing (The Fuzzing Book) is foundational. Gordon Fraser's contributions to test generation (EvoSuite) are widely used. Strong European SE research hub."
