model,provider,prompt_id,run_id,rank,acronym,full_name,justification
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,1,,,"CMU is widely regarded as the top institution for software engineering research globally. The SEI, a federally funded R&D center, produced foundational work including the Capability Maturity Model (CMM/CMMI). CMU faculty have led seminal research in formal methods, software architecture, program analysis, testing, and AI for code. Researchers such as David Garlan, William Scherlis, and Jonathan Aldrich have shaped the field for decades."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,2,,,"MIT CSAIL has produced landmark contributions in program synthesis, formal verification, software testing, and programming languages. Work on model checking (with connections to Alloy by Daniel Jackson), program analysis, and more recently AI-assisted programming (e.g., connections to GitHub Copilot research) places MIT among the most influential SE research institutions."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,3,,,"Microsoft Research's RiSE group has produced enormously influential work including the Pex/IntelliTest automated testing tool, the Dafny verification language, Z3 SMT solver, Boogie verifier, and extensive empirical software engineering studies. The combination of academic rigor and industrial scale gives MSR unique influence on both research and practice."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,4,,,"UC Berkeley has contributed foundational work in programming languages, distributed systems software engineering, automated program repair, and software security. Faculty such as Koushik Sen (KLEE-related fuzzing, concolic testing) and Armando Solar-Lezama (program synthesis) have had major impact. Berkeley also produced influential open-source software infrastructure."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,5,,,"Google has driven enormous advances in software engineering at scale, including large-scale testing infrastructure, code review practices, fuzzing (OSS-Fuzz), static analysis (Error Prone, Tricorder), and AI for code (AlphaCode, Codey). Google's publications and open-source releases have reshaped industrial and academic SE research."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,6,,,"TU Delft's SERG is one of Europe's most productive SE research groups, with strong output in empirical software engineering, software testing, technical debt, continuous integration, and mining software repositories. Researchers such as Arie van Deursen and Andy Zaidman have high citation impact, and the group consistently publishes at top venues (ICSE, FSE, ASE)."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,7,,,"UIUC has a long tradition of influential SE and PL research, including work on program analysis, model checking (SPIN-related), software testing, and automated debugging. Faculty such as Darko Marinov (regression testing) and Tao Xie (software testing, AI for SE) have had sustained high impact."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,8,,,"UT Austin has produced influential research in program synthesis, formal verification, software security, and automated program repair. Isil Dillig's work on program analysis and synthesis, and Miryung Kim's empirical SE work (before her move to UCLA) represent the breadth of impact. The institution consistently places at top SE venues."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,9,,,"ETH Zurich has produced highly cited work in program analysis, automated bug detection, AI for code, and software security. Martin Vechev's group (SRL) is particularly notable for work on neural program synthesis, static analysis, and machine learning for code, publishing extensively at top venues."
claude-sonnet-4-6,anthropic,SE_RANK_A,run01,10,,,"UW has strong contributions in programming languages and software engineering, including work on program synthesis, software verification, and human aspects of SE. Researchers such as Michael Ernst (Daikon invariant detector, type inference) and the broader PLSE group have had lasting influence."
