model,niche,gt,n_papers_usable,n_institutions_matched,coverage,mad,spearman,kendall,tier_agreement
claude-sonnet-4-6,se,niche,45,9,0.28888888888888886,16.88888888888889,0.6236630358077134,0.5421047417431507,0.4444444444444444
claude-sonnet-4-6,se,overall,45,10,0.3111111111111111,9.8,0.0,0.0,0.5
claude-sonnet-4-6,vision,niche,45,3,0.15555555555555556,10.666666666666666,0.8660254037844387,0.816496580927726,0.3333333333333333
claude-sonnet-4-6,vision,overall,45,3,0.15555555555555556,7.166666666666667,-0.8660254037844387,-0.816496580927726,0.6666666666666666
gemini-3.1-pro-preview,se,niche,45,6,0.28888888888888886,10.0,0.6982532518267538,0.5962847939999439,0.6666666666666666
gemini-3.1-pro-preview,se,overall,45,7,0.4,18.071428571428573,0.22454435656953595,0.15877683720748895,0.42857142857142855
gemini-3.1-pro-preview,vision,niche,45,3,0.15555555555555556,13.666666666666666,0.0,0.0,0.3333333333333333
gemini-3.1-pro-preview,vision,overall,45,3,0.15555555555555556,7.5,0.8660254037844387,0.816496580927726,0.6666666666666666
gpt-5.4,se,niche,45,4,0.2,14.125,0.2581988897471611,0.2357022603955159,0.75
gpt-5.4,se,overall,45,4,0.2,19.25,-0.7745966692414834,-0.7071067811865477,0.25
gpt-5.4,vision,niche,45,5,0.17777777777777778,11.4,-0.3354101966249684,-0.35856858280031806,0.4
gpt-5.4,vision,overall,45,6,0.2,10.166666666666666,0.033806170189140665,0.08606629658238703,0.6666666666666666
qwen2.5:3b,se,niche,71,5,0.08450704225352113,19.0,-0.35355339059327373,-0.31622776601683794,0.2
qwen2.5:3b,se,overall,71,7,0.1267605633802817,18.142857142857142,-0.15811388300841894,-0.13801311186847084,0.42857142857142855
qwen2.5:3b,vision,niche,75,8,0.32,26.25,0.8286273017161361,0.6719368409052928,0.25
qwen2.5:3b,vision,overall,75,5,0.13333333333333333,13.8,0.47434164902525683,0.44721359549995787,0.2
