model,provider,prompt_id,run_id,rank,acronym,full_name,justification
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,1,ICSE,International Conference on Software Engineering,"The premier venue for software engineering. It hosts the most influential papers on automated program repair, test generation, and recently, the integration of LLMs into the SE lifecycle."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,2,FSE,ACM SIGSOFT International Conference on the Foundations of Software Engineering,"A top-tier venue focusing on the theoretical and practical foundations of SE, frequently featuring high-impact research on code analysis and AI-driven developer tools."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,3,ASE,IEEE/ACM International Conference on Automated Software Engineering,"Specifically focused on automation. It is a primary hub for research on program synthesis, automated bug fixing, and AI-assisted coding."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,4,NeurIPS,Conference on Neural Information Processing Systems,"While a general AI conference, it is where the foundational LLM architectures (like Transformers) and core machine learning techniques used in code models are debuted."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,5,ICLR,International Conference on Learning Representations,Crucial for research on how models represent code (code embeddings) and the training methodologies for Large Language Models for Code (CodeLLMs).
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,6,ACL,Annual Meeting of the Association for Computational Linguistics,"The leading venue for NLP. Since code is treated as a language, many breakthroughs in code search and natural-language-to-code generation are published here."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,7,ISSTA,International Symposium on Software Testing and Analysis,"The primary venue for research on automated test generation, fuzzing, and AI-driven software verification."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,8,PLDI,Programming Language Design and Implementation,Focuses on the intersection of compilers and PLs; essential for research on formal verification and the correctness of AI-generated code.
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,9,EMSE,Empirical Software Engineering,A leading journal for studies on developer productivity and the real-world impact of AI tools on software maintenance.
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,10,TSE,IEEE Transactions on Software Engineering,"The highest-impact journal for comprehensive, validated research on AI-assisted SE and long-term software maintenance."
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,11,OOPSLA,"Object-Oriented Programming, Systems, Languages, and Applications",Key for research on language design and the integration of AI into the development environment (IDEs).
google/gemma-4-31b-it:free,openrouter,P01_CONFERENCE_RANKING,final01,12,Mining Software Repositories (MSR),International Conference on Mining Software Repositories,"Essential for the data-driven side of AI-SE, focusing on how to extract the training data (GitHub/GitLab) used to train code models."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,1,ICSE,International Conference on Software Engineering,"The premier venue for SE. It has the highest historical influence and academic prestige. While general SE, it is currently the primary venue for large-scale AI-for-SE empirical studies."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,2,FSE/ESEC,ACM SIGSOFT International Symposium on the Foundations of Software Engineering,"Highly prestigious (CORE A*). Focuses on the foundational aspects of SE, making it a critical venue for the theoretical grounding of AI-assisted development."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,3,ASE,IEEE/ACM International Conference on Automated Software Engineering,"Specifically focused on automation. It is the most relevant venue for AI-assisted development (LLMs for code, automated repair, and synthesis)."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,4,NeurIPS,Conference on Neural Information Processing Systems,"While a general AI conference, it is where the underlying architectures (Transformers, RL) used in AI-assisted development are debuted. Extreme academic prestige."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,5,ICLR,International Conference on Learning Representations,"Crucial for the 'AI' part of AI-for-SE, particularly for deep learning models applied to code representation learning."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,6,ISSTA,International Symposium on Software Testing and Analysis,"The top venue for AI applied to testing, bug finding, and program analysis (CORE A*)."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,7,ACL,Annual Meeting of the Association for Computational Linguistics,"Essential for the NLP aspects of AI-assisted development, such as prompt engineering and natural language to code translation."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,8,PLDI,Programming Language Design and Implementation,High prestige in the PL community. Critical for the formal verification and synthesis aspects of AI-assisted development.
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,9,EMSE,Empirical Software Engineering,"Though primarily a journal, its associated community and associated workshops are key for validating AI tools in real-world SE settings."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,10,OOPSLA,"Object-Oriented Programming, Systems, Languages, and Applications","High prestige (SIGPLAN). Focuses on the intersection of language design and implementation, relevant for AI-driven code generation."
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,11,ICML,International Conference on Machine Learning,Similar to NeurIPS; provides the ML foundations that drive AI-assisted development tools.
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,12,MSR,International Conference on Mining Software Repositories,The primary venue for the data mining techniques used to train AI models on GitHub/GitLab data.
google/gemma-4-31b-it:free,openrouter,P02_CONFERENCE_RANKING_SOURCED,final01,13,ASE-Workshop/Special Tracks,ASE AI-for-SE Tracks,Specific tracks within ASE often lead the trend in AI-assisted development before they hit the main tracks of ICSE.
