model,provider,prompt_id,run_id,title,authors,venue,year,doi,arxiv_id,url,institution
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,GenProg: A Generic Method for Automatic Software Repair,"[""Claire Le Goues"", ""ThanhVu Nguyen"", ""Stephanie Forrest"", ""Westley Weimer""]",IEEE Transactions on Software Engineering,2012,10.1109/TSE.2011.104,,https://doi.org/10.1109/TSE.2011.104,University of Virginia / University of New Mexico
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,An Analysis of Patch Plausibility and Correctness for Generate-and-Validate Patch Generation Systems,"[""Zichao Qi"", ""Fan Long"", ""Sara Achour"", ""Martin Rinard""]",ISSTA 2015,2015,10.1145/2771783.2771791,,https://doi.org/10.1145/2771783.2771791,MIT
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,Prophet: Generating Patches That Don't Break Things,"[""Fan Long"", ""Martin Rinard""]",POPL 2016,2016,10.1145/2837614.2837617,,https://doi.org/10.1145/2837614.2837617,MIT
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,"Automated Patch Generation Learned from Human-Written Patches: Analysis, Challenges, and Prospects","[""Dongsun Kim"", ""Jaechang Nam"", ""Jaewoo Song"", ""Sunghun Kim""]",ICSE 2013,2013,10.1109/ICSE.2013.6606626,,https://doi.org/10.1109/ICSE.2013.6606626,Hong Kong University of Science and Technology
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,Defects4J: A Database of Existing Faults to Enable Controlled Testing Studies for Java Programs,"[""René Just"", ""Darioush Jalali"", ""Michael D. Ernst""]",ISSTA 2014,2014,10.1145/2610384.2628055,,https://doi.org/10.1145/2610384.2628055,University of Washington
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,Defects4J Benchmark Repository,"[""René Just"", ""Michael D. Ernst""]",GitHub,2014,,,https://github.com/rjust/defects4j,University of Washington
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,SequenceR: Sequence-to-Sequence Learning for End-to-End Program Repair,"[""Zimin Chen"", ""Steve Kommrusch"", ""Michele Tufano"", ""Louis-Noël Pouchet"", ""Denys Poshyvanyk"", ""Martin Monperrus""]",IEEE Transactions on Software Engineering,2021,10.1109/TSE.2019.2940179,1901.01808,https://doi.org/10.1109/TSE.2019.2940179,KTH Royal Institute of Technology / College of William & Mary
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,Automated Program Repair in the Era of Large Pre-trained Language Models,"[""Chunqiu Steven Xia"", ""Yuxiang Wei"", ""Lingming Zhang""]",ICSE 2023,2023,10.1109/ICSE48619.2023.00129,2210.14179,https://doi.org/10.1109/ICSE48619.2023.00129,University of Illinois Urbana-Champaign
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,"[""Carlos E. Jimenez"", ""John Yang"", ""Alexander Wettig"", ""Shunyu Yao"", ""Kexin Pei"", ""Ofir Press"", ""Karthik Narasimhan""]",ICLR 2024,2024,,2310.06770,https://arxiv.org/abs/2310.06770,Princeton University
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,SWE-bench Benchmark Website and Leaderboard,"[""Carlos E. Jimenez"", ""John Yang"", ""Karthik Narasimhan""]",swe-bench.github.io,2024,,,https://www.swebench.com,Princeton University
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,Astor: A Program Repair Library for Java,"[""Matias Martinez"", ""Martin Monperrus""]",ISSTA 2016 (Tool Demo),2016,,1802.03365,https://github.com/SpoonLabs/astor,KTH Royal Institute of Technology / University of Valenciennes
claude-sonnet-4-6,anthropic,SE_SOURCES_APR,run01,A Systematic Literature Review of Automated Program Repair,"[""Kai Gao"", ""Hongyu Zhang"", ""Wanjun Zhong"", ""Bing Xie""]",ACM Computing Surveys,2022,10.1145/3524459,,https://doi.org/10.1145/3524459,Peking University / University of Newcastle
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation (R-CNN),"[""Ross Girshick"", ""Jeff Donahue"", ""Trevor Darrell"", ""Jitendra Malik""]",CVPR,2014,,1311.2524,https://arxiv.org/abs/1311.2524,UC Berkeley
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"[""Shaoqing Ren"", ""Kaiming He"", ""Ross Girshick"", ""Jian Sun""]",NeurIPS,2015,,1506.01497,https://arxiv.org/abs/1506.01497,Microsoft Research
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,"You Only Look Once: Unified, Real-Time Object Detection (YOLOv1)","[""Joseph Redmon"", ""Santosh Divvala"", ""Ross Girshick"", ""Ali Farhadi""]",CVPR,2016,,1506.02640,https://arxiv.org/abs/1506.02640,University of Washington / Facebook AI Research
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,SSD: Single Shot MultiBox Detector,"[""Wei Liu"", ""Dragomir Anguelov"", ""Dumitru Erhan"", ""Christian Szegedy"", ""Scott Reed"", ""Cheng-Yang Fu"", ""Alexander C. Berg""]",ECCV,2016,,1512.02325,https://arxiv.org/abs/1512.02325,UNC Chapel Hill / Google / University of Michigan
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Feature Pyramid Networks for Object Detection,"[""Tsung-Yi Lin"", ""Piotr Dollár"", ""Ross Girshick"", ""Kaiming He"", ""Bharath Hariharan"", ""Serge Belongie""]",CVPR,2017,,1612.03144,https://arxiv.org/abs/1612.03144,Facebook AI Research / Cornell University
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Focal Loss for Dense Object Detection (RetinaNet),"[""Tsung-Yi Lin"", ""Priya Goyal"", ""Ross Girshick"", ""Kaiming He"", ""Piotr Dollár""]",ICCV,2017,,1708.02002,https://arxiv.org/abs/1708.02002,Facebook AI Research
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,End-to-End Object Detection with Transformers (DETR),"[""Nicolas Carion"", ""Francisco Massa"", ""Gabriel Synnaeve"", ""Nicolas Usunier"", ""Alexander Kirillov"", ""Sergey Zagoruyko""]",ECCV,2020,,2005.12872,https://arxiv.org/abs/2005.12872,Facebook AI Research
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,YOLOv7: Trainable Bag-of-Freebies Sets New State-of-the-Art for Real-Time Object Detectors,"[""Chien-Yao Wang"", ""Alexey Bochkovskiy"", ""Hong-Yuan Mark Liao""]",CVPR,2023,,2207.02696,https://arxiv.org/abs/2207.02696,"Institute of Information Science, Academia Sinica"
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Microsoft COCO: Common Objects in Context (COCO Benchmark),"[""Tsung-Yi Lin"", ""Michael Maire"", ""Serge Belongie"", ""James Hays"", ""Pietro Perona"", ""Deva Ramanan"", ""Piotr Dollár"", ""C. Lawrence Zitnick""]",ECCV,2014,,1405.0312,https://arxiv.org/abs/1405.0312,Microsoft Research / Cornell University / Carnegie Mellon University
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,COCO Detection Benchmark — Official Leaderboard and Dataset Page,,benchmark page,2014,,,https://cocodataset.org/#detection-eval,Microsoft Research (maintained by COCO Consortium)
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Ultralytics YOLOv8 — Official Repository,"[""Glenn Jocher"", ""Ayush Chaurasia"", ""Jing Qiu""]",official repository,2023,,,https://github.com/ultralytics/ultralytics,Ultralytics
claude-sonnet-4-6,anthropic,VIS_SOURCES_DET,run01,Detectron2 — Official Repository,"[""Yuxin Wu"", ""Alexander Kirillov"", ""Francisco Massa"", ""Wan-Yen Lo"", ""Ross Girshick""]",official repository,2019,,,https://github.com/facebookresearch/detectron2,Facebook AI Research
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,Automatically finding patches using genetic programming,"[""Westley Weimer"", ""ThanhVu Nguyen"", ""Claire Le Goues"", ""Stephanie Forrest""]",Proceedings of the 31st International Conference on Software Engineering (ICSE),2009,10.1109/ICSE.2009.5070536,,https://doi.org/10.1109/ICSE.2009.5070536,"University of Virginia, University of New Mexico"
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,Defects4J: A Database of Existing Faults to Enable Controlled Testing and Debugging Studies,"[""René Just"", ""Darioush Jalali"", ""Michael D. Ernst""]",Proceedings of the 2014 International Symposium on Software Testing and Analysis (ISSTA),2014,10.1145/2610384.2628055,,https://doi.org/10.1145/2610384.2628055,University of Washington
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,SemFix: Program repair via semantic analysis,"[""Hoang Duong Thien Nguyen"", ""Dawei Qi"", ""Abhik Roychoudhury"", ""Satish Chandra""]",Proceedings of the 35th International Conference on Software Engineering (ICSE),2013,10.1109/ICSE.2013.6606623,,https://doi.org/10.1109/ICSE.2013.6606623,"National University of Singapore, IBM Research"
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis,"[""Sergey Mechtaev"", ""Jooyong Yi"", ""Abhik Roychoudhury""]",Proceedings of the 38th International Conference on Software Engineering (ICSE),2016,10.1145/2884781.2884807,,https://doi.org/10.1145/2884781.2884807,National University of Singapore
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,Nopol: Automatic Repair of Conditional Statement Bugs in Java Programs,"[""Jifeng Xuan"", ""Matias Martinez"", ""Favio Demarco"", ""Maxime Clement"", ""Sebastian Lamelas Marcote"", ""Thomas Durieux"", ""Daniel Le Berre"", ""Martin Monperrus""]",IEEE Transactions on Software Engineering (TSE),2016,10.1109/TSE.2016.2560811,,https://doi.org/10.1109/TSE.2016.2560811,"INRIA, University of Lille"
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,TBar: Revisiting Template-based Automated Program Repair,"[""Kui Liu"", ""Anil Koyuncu"", ""Dongsun Kim"", ""Tegawendé F. Bissyandé""]",Proceedings of the 28th ACM SIGSOFT International Symposium on Software Testing and Analysis (ISSTA),2019,10.1145/3293882.3330577,,https://doi.org/10.1145/3293882.3330577,University of Luxembourg
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,CURE: Code-Aware Neural Machine Translation for Automatic Program Repair,"[""Nan Jiang"", ""Thibaud Lutellier"", ""Lin Tan""]",Proceedings of the 43rd International Conference on Software Engineering (ICSE),2021,10.1109/ICSE43902.2021.00107,,https://doi.org/10.1109/ICSE43902.2021.00107,"Purdue University, University of Waterloo"
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,Automatic Software Repair: A Bibliography,"[""Martin Monperrus""]",ACM Computing Surveys (CSUR),2018,10.1145/3105906,,https://doi.org/10.1145/3105906,"KTH Royal Institute of Technology, INRIA"
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,"Less Training, More Repairing Please: Revisiting Automated Program Repair via Zero-shot Learning","[""Chunqiu Steven Xia"", ""Lingming Zhang""]",Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering (ESEC/FSE),2022,10.1145/3540250.3549014,2207.08281,https://doi.org/10.1145/3540250.3549014,University of Illinois Urbana-Champaign (UIUC)
gemini-3.1-pro-preview,gemini,SE_SOURCES_APR,run01,How to Design a Program Repair Bot? Insights from the Repairnator Project,"[""Simon Urli"", ""Zhongxing Yu"", ""Lionel Seinturier"", ""Martin Monperrus""]",Proceedings of the 40th International Conference on Software Engineering: Software Engineering in Practice Track (ICSE-SEIP),2018,10.1145/3183519.3183540,,https://doi.org/10.1145/3183519.3183540,"INRIA, KTH Royal Institute of Technology"
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Rich feature hierarchies for accurate object detection and semantic segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik",CVPR,2014,10.1109/CVPR.2014.81,1311.2524,https://arxiv.org/abs/1311.2524,UC Berkeley
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Faster R-CNN: Towards Real-Time Object Detection with Region Proposal Networks,"Shaoqing Ren, Kaiming He, Ross Girshick, Jian Sun",NeurIPS,2015,,1506.01497,https://arxiv.org/abs/1506.01497,Microsoft Research
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,"You Only Look Once: Unified, Real-Time Object Detection","Joseph Redmon, Santosh Divvala, Ross Girshick, Ali Farhadi",CVPR,2016,10.1109/CVPR.2016.91,1506.02640,https://arxiv.org/abs/1506.02640,University of Washington
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,SSD: Single Shot MultiBox Detector,"Wei Liu, Dragomir Anguelov, Dumitru Erhan, Christian Szegedy, Scott Reed, Cheng-Yang Fu, Alexander C. Berg",ECCV,2016,10.1007/978-3-319-46448-0_2,1512.02325,https://arxiv.org/abs/1512.02325,UNC Chapel Hill
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Mask R-CNN,"Kaiming He, Georgia Gkioxari, Piotr Dollár, Ross Girshick",ICCV,2017,10.1109/ICCV.2017.322,1703.06870,https://arxiv.org/abs/1703.06870,Facebook AI Research (FAIR)
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Focal Loss for Dense Object Detection,"Tsung-Yi Lin, Priya Goyal, Ross Girshick, Kaiming He, Piotr Dollár",ICCV,2017,10.1109/ICCV.2017.324,1708.02002,https://arxiv.org/abs/1708.02002,Facebook AI Research (FAIR)
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,End-to-End Object Detection with Transformers,"Nicolas Carion, Francisco Massa, Gabriel Synnaeve, Nicolas Usunier, Alexander Kirillov, Sergey Zagoruyko",ECCV,2020,10.1007/978-3-030-58452-8_13,2005.12872,https://arxiv.org/abs/2005.12872,Facebook AI
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Microsoft COCO: Common Objects in Context,"Tsung-Yi Lin, Michael Maire, Serge Belongie, James Hays, Pietro Perona, Deva Ramanan, Piotr Dollár, C. Lawrence Zitnick",ECCV,2014,10.1007/978-3-319-10602-1_48,1405.0312,https://arxiv.org/abs/1405.0312,Microsoft Research
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,Detectron2,"Yuxin Wu, Alexander Kirillov, Francisco Massa, Wan-Yen Lo, Ross Girshick",GitHub,2019,,,https://github.com/facebookresearch/detectron2,Facebook AI Research (FAIR)
gemini-3.1-pro-preview,gemini,VIS_SOURCES_DET,run01,YOLOv4: Optimal Speed and Accuracy of Object Detection,"Alexey Bochkovskiy, Chien-Yao Wang, Hong-Yuan Mark Liao",arXiv,2020,,2004.10934,https://arxiv.org/abs/2004.10934,Academia Sinica
gpt-5.4,openai,SE_SOURCES_APR,run01,GenProg: A Generic Method for Automatic Software Repair,"[""Claire Le Goues"", ""ThanhVu Nguyen"", ""Stephanie Forrest"", ""Westley Weimer""]",IEEE Transactions on Software Engineering,2012,10.1109/TSE.2011.104,,https://doi.org/10.1109/TSE.2011.104,University of Virginia
gpt-5.4,openai,SE_SOURCES_APR,run01,SemFix: Program Repair via Semantic Analysis,"[""Hoang Duong Thien Nguyen"", ""Dawei Qi"", ""Abhik Roychoudhury"", ""Satish Chandra""]",ICSE 2013,2013,10.1109/ICSE.2013.6606623,,https://doi.org/10.1109/ICSE.2013.6606623,National University of Singapore / Microsoft Research
gpt-5.4,openai,SE_SOURCES_APR,run01,DirectFix: Looking for Simple Program Repairs,"[""Fan Long"", ""Martin Rinard""]",ICSE 2015,2015,10.1109/ICSE.2015.63,,https://doi.org/10.1109/ICSE.2015.63,Massachusetts Institute of Technology
gpt-5.4,openai,SE_SOURCES_APR,run01,SPR: A Search-Based Program Repair Approach for C Programs,"[""Fan Long"", ""Martin Rinard""]",FSE 2015,2015,10.1145/2786805.2786863,,https://doi.org/10.1145/2786805.2786863,Massachusetts Institute of Technology
gpt-5.4,openai,SE_SOURCES_APR,run01,Angelix: Scalable Multiline Program Patch Synthesis via Symbolic Analysis,"[""Sergey Mechtaev"", ""Jooyong Yi"", ""Abhik Roychoudhury""]",ICSE 2016,2016,10.1145/2884781.2884807,,https://doi.org/10.1145/2884781.2884807,National University of Singapore
gpt-5.4,openai,SE_SOURCES_APR,run01,SequenceR: Sequence-to-Sequence Learning for End-to-End Program Repair,"[""Yuan Yuan"", ""Wolfgang Banzhaf""]",IEEE Transactions on Software Engineering,2022,10.1109/TSE.2021.3075017,,https://doi.org/10.1109/TSE.2021.3075017,Memorial University of Newfoundland
gpt-5.4,openai,SE_SOURCES_APR,run01,Automated Repair of Programs from Large Language Models,"[""Naman Jain"", ""Prasad Chalasani"", ""Aman Kumar"", ""Harry Zhang"", ""Alexandra Sasha Luccioni"", ""others""]",ICSE 2023,2023,,2302.07820,https://arxiv.org/abs/2302.07820,ServiceNow Research
